7;40;1;23
7;40;2;23
7;40;3;23
8;40;1;23
8;40;2;23
8;40;3;23
9;40;1;23
9;40;2;23
9;40;3;23
6;39;1;23
6;39;2;23
6;39;3;23
7;39;0;23
7;39;1;23
7;39;2;23
7;39;3;23
7;39;4;23
8;39;0;23
8;39;1;23
8;39;2;23
8;39;3;23
8;39;4;23
9;39;0;23
9;39;1;23
9;39;2;23
9;39;3;23
9;39;4;23
10;39;1;23
10;39;2;23
10;39;3;23
6;38;1;23
6;38;2;23
6;38;3;23
7;38;0;23
7;38;1;23
7;38;2;23
7;38;3;23
7;38;4;23
8;38;0;23
8;38;1;23
8;38;2;23
8;38;3;23
8;38;4;23
9;38;0;23
9;38;1;23
9;38;2;23
9;38;3;23
9;38;4;23
10;38;1;23
10;38;2;23
10;38;3;23
7;37;2;23
9;37;2;23
8;37;1;23
8;37;3;23
8;35;2;11
8;36;2;11
8;37;2;11
8;38;2;11
8;39;2;11
0;25;11;26
